,Simulação,Nó,Hora Inicio
0,2,Nó de Carcavelos,0
1,2,Nó de Carcavelos,0
2,2,Nó de Carcavelos,2
3,2,Nó de Carcavelos,15
4,2,Nó de Carcavelos,15
5,2,Nó de Carcavelos,15
6,2,Nó de Oeiras,19
7,2,Nó de Oeiras,28
8,2,Nó de Oeiras,28
9,2,Nó de Oeiras,28
10,2,Nó Estádio Nacional,76
11,2,Nó Estádio Nacional,104
12,2,Nó Estádio Nacional,104
13,2,Nó Estádio Nacional,104
14,2,Nó de Linda-a-Velha,106
15,2,Nó de Linda-a-Velha,119
16,2,Nó de Linda-a-Velha,119
17,2,Nó de Linda-a-Velha,119
18,2,Nó de Miraflores (A5/IC17),121
19,2,Nó de Miraflores (A5/IC17),131
20,2,Nó de Miraflores (A5/IC17),131
21,2,Nó de Miraflores (A5/IC17),131
22,2,Nó de Monsanto,133
23,2,Nó de Monsanto,147
24,2,Nó de Monsanto,147
25,2,Nó de Monsanto,147
26,2,Nó Cruz das Oliveiras,149
27,2,Nó Cruz das Oliveiras,154
28,2,Nó Cruz das Oliveiras,154
29,2,Nó Cruz das Oliveiras,154
30,2,Nó Viaduto Duarte Pacheco,156
31,2,Nó Viaduto Duarte Pacheco,156
32,2,Nó Viaduto Duarte Pacheco,158
33,2,Nó Viaduto Duarte Pacheco,173
34,2,Nó Viaduto Duarte Pacheco,173
35,2,Nó Viaduto Duarte Pacheco,173
36,2,Nó Cruz das Oliveiras,175
37,2,Nó Cruz das Oliveiras,180
38,2,Nó Cruz das Oliveiras,180
39,2,Nó Cruz das Oliveiras,180
40,2,Nó de Monsanto,182
41,2,Nó de Monsanto,196
42,2,Nó de Monsanto,196
43,2,Nó de Monsanto,196
44,2,Nó de Miraflores (A5/IC17),198
45,2,Nó de Miraflores (A5/IC17),208
46,2,Nó de Miraflores (A5/IC17),208
47,2,Nó de Miraflores (A5/IC17),208
48,2,Nó de Linda-a-Velha,210
49,2,Nó de Linda-a-Velha,223
50,2,Nó de Linda-a-Velha,223
51,2,Nó de Linda-a-Velha,223
52,2,Nó Estádio Nacional,225
53,2,Nó Estádio Nacional,253
54,2,Nó Estádio Nacional,253
55,2,Nó Estádio Nacional,253
56,2,Nó de Oeiras,257
57,2,Nó de Oeiras,266
58,2,Nó de Oeiras,266
59,2,Nó de Oeiras,266
60,2,Nó de Carcavelos,270
61,2,Nó de Carcavelos,270
62,2,Nó de Carcavelos,272
63,2,Nó de Carcavelos,272
64,2,Nó de Oeiras,276
65,2,Nó de Oeiras,276
66,2,Nó Estádio Nacional,280
67,2,Nó Estádio Nacional,280
68,2,Nó de Linda-a-Velha,282
69,2,Nó de Linda-a-Velha,282
70,2,Nó de Miraflores (A5/IC17),284
71,2,Nó de Miraflores (A5/IC17),284
72,2,Nó de Monsanto,286
73,2,Nó de Monsanto,286
74,2,Nó Cruz das Oliveiras,288
75,2,Nó Cruz das Oliveiras,288
76,2,Nó Viaduto Duarte Pacheco,290
77,2,Nó Viaduto Duarte Pacheco,290
78,2,Nó Viaduto Duarte Pacheco,292
79,2,Nó Viaduto Duarte Pacheco,292
80,2,Nó Cruz das Oliveiras,294
81,2,Nó Cruz das Oliveiras,294
82,2,Nó de Monsanto,296
83,2,Nó de Monsanto,296
84,2,Nó de Miraflores (A5/IC17),298
85,2,Nó de Miraflores (A5/IC17),298
86,2,Nó de Linda-a-Velha,300
87,2,Nó de Linda-a-Velha,300
88,2,Nó Estádio Nacional,302
89,2,Nó Estádio Nacional,302
90,2,Nó de Oeiras,306
91,2,Nó de Oeiras,306
92,2,Nó de Carcavelos,310
93,2,Nó de Carcavelos,310
94,2,Nó de Carcavelos,392
95,2,Nó de Carcavelos,422
96,2,Nó de Carcavelos,362
97,2,Nó de Carcavelos,422
98,2,Nó de Carcavelos,422
99,2,Nó de Carcavelos,452
100,2,Nó de Carcavelos,432
101,2,Nó de Carcavelos,452
102,2,Nó de Carcavelos,452
103,2,Nó de Carcavelos,482
104,2,Nó de Carcavelos,482
105,2,Nó de Carcavelos,482
106,2,Nó de Carcavelos,484
107,2,Nó de Carcavelos,514
108,2,Nó de Carcavelos,514
109,2,Nó de Carcavelos,514
110,2,Nó de Carcavelos,0
111,2,Nó de Carcavelos,0
112,2,Nó de Carcavelos,2
113,2,Nó de Carcavelos,15
114,2,Nó de Carcavelos,15
115,2,Nó de Carcavelos,15
116,2,Nó de Oeiras,51
117,2,Nó de Oeiras,60
118,2,Nó de Oeiras,60
119,2,Nó de Oeiras,60
120,2,Nó Estádio Nacional,108
121,2,Nó Estádio Nacional,136
122,2,Nó Estádio Nacional,136
123,2,Nó Estádio Nacional,136
124,2,Nó de Linda-a-Velha,138
125,2,Nó de Linda-a-Velha,151
126,2,Nó de Linda-a-Velha,151
127,2,Nó de Linda-a-Velha,151
128,2,Nó de Miraflores (A5/IC17),153
129,2,Nó de Miraflores (A5/IC17),163
130,2,Nó de Miraflores (A5/IC17),163
131,2,Nó de Miraflores (A5/IC17),163
132,2,Nó de Monsanto,165
133,2,Nó de Monsanto,179
134,2,Nó de Monsanto,179
135,2,Nó de Monsanto,179
136,2,Nó Cruz das Oliveiras,181
137,2,Nó Cruz das Oliveiras,186
138,2,Nó Cruz das Oliveiras,186
139,2,Nó Cruz das Oliveiras,186
140,2,Nó Viaduto Duarte Pacheco,188
141,2,Nó Viaduto Duarte Pacheco,188
142,2,Nó Viaduto Duarte Pacheco,190
143,2,Nó Viaduto Duarte Pacheco,205
144,2,Nó Viaduto Duarte Pacheco,205
145,2,Nó Viaduto Duarte Pacheco,205
146,2,Nó Cruz das Oliveiras,207
147,2,Nó Cruz das Oliveiras,212
148,2,Nó Cruz das Oliveiras,212
149,2,Nó Cruz das Oliveiras,212
150,2,Nó de Monsanto,214
151,2,Nó de Monsanto,228
152,2,Nó de Monsanto,228
153,2,Nó de Monsanto,228
154,2,Nó de Miraflores (A5/IC17),230
155,2,Nó de Miraflores (A5/IC17),240
156,2,Nó de Miraflores (A5/IC17),240
157,2,Nó de Miraflores (A5/IC17),240
158,2,Nó de Linda-a-Velha,242
159,2,Nó de Linda-a-Velha,255
160,2,Nó de Linda-a-Velha,255
161,2,Nó de Linda-a-Velha,255
162,2,Nó Estádio Nacional,257
163,2,Nó Estádio Nacional,285
164,2,Nó Estádio Nacional,285
165,2,Nó Estádio Nacional,285
166,2,Nó de Oeiras,289
167,2,Nó de Oeiras,298
168,2,Nó de Oeiras,298
169,2,Nó de Oeiras,298
170,2,Nó de Carcavelos,302
171,2,Nó de Carcavelos,302
172,2,Nó de Carcavelos,304
173,2,Nó de Carcavelos,304
174,2,Nó de Oeiras,308
175,2,Nó de Oeiras,308
176,2,Nó Estádio Nacional,312
177,2,Nó Estádio Nacional,312
178,2,Nó de Linda-a-Velha,314
179,2,Nó de Linda-a-Velha,314
180,2,Nó de Miraflores (A5/IC17),316
181,2,Nó de Miraflores (A5/IC17),316
182,2,Nó de Monsanto,318
183,2,Nó de Monsanto,318
184,2,Nó Cruz das Oliveiras,320
185,2,Nó Cruz das Oliveiras,320
186,2,Nó Viaduto Duarte Pacheco,322
187,2,Nó Viaduto Duarte Pacheco,322
188,2,Nó Viaduto Duarte Pacheco,324
189,2,Nó Viaduto Duarte Pacheco,324
190,2,Nó Cruz das Oliveiras,326
191,2,Nó Cruz das Oliveiras,326
192,2,Nó de Monsanto,328
193,2,Nó de Monsanto,328
194,2,Nó de Miraflores (A5/IC17),330
195,2,Nó de Miraflores (A5/IC17),330
196,2,Nó de Linda-a-Velha,332
197,2,Nó de Linda-a-Velha,332
198,2,Nó Estádio Nacional,334
199,2,Nó Estádio Nacional,334
200,2,Nó de Oeiras,338
201,2,Nó de Oeiras,338
202,2,Nó de Carcavelos,342
203,2,Nó de Carcavelos,342
204,2,Nó de Carcavelos,424
205,2,Nó de Carcavelos,454
206,2,Nó de Carcavelos,394
207,2,Nó de Carcavelos,454
208,2,Nó de Carcavelos,454
209,2,Nó de Carcavelos,484
210,2,Nó de Carcavelos,464
211,2,Nó de Carcavelos,484
212,2,Nó de Carcavelos,484
213,2,Nó de Carcavelos,514
214,2,Nó de Carcavelos,514
215,2,Nó de Carcavelos,514
216,2,Nó de Carcavelos,516
217,2,Nó de Carcavelos,546
218,2,Nó de Carcavelos,546
219,2,Nó de Carcavelos,546
220,2,Nó de Carcavelos,0
221,2,Nó de Carcavelos,0
222,2,Nó de Carcavelos,2
223,2,Nó de Carcavelos,15
224,2,Nó de Carcavelos,15
225,2,Nó de Carcavelos,15
226,2,Nó de Oeiras,95
227,2,Nó de Oeiras,104
228,2,Nó de Oeiras,104
229,2,Nó de Oeiras,104
230,2,Nó Estádio Nacional,152
231,2,Nó Estádio Nacional,180
232,2,Nó Estádio Nacional,180
233,2,Nó Estádio Nacional,180
234,2,Nó de Linda-a-Velha,182
235,2,Nó de Linda-a-Velha,195
236,2,Nó de Linda-a-Velha,195
237,2,Nó de Linda-a-Velha,195
238,2,Nó de Miraflores (A5/IC17),197
239,2,Nó de Miraflores (A5/IC17),207
240,2,Nó de Miraflores (A5/IC17),207
241,2,Nó de Miraflores (A5/IC17),207
242,2,Nó de Monsanto,209
243,2,Nó de Monsanto,223
244,2,Nó de Monsanto,223
245,2,Nó de Monsanto,223
246,2,Nó Cruz das Oliveiras,225
247,2,Nó Cruz das Oliveiras,230
248,2,Nó Cruz das Oliveiras,230
249,2,Nó Cruz das Oliveiras,230
250,2,Nó Viaduto Duarte Pacheco,232
251,2,Nó Viaduto Duarte Pacheco,232
252,2,Nó Viaduto Duarte Pacheco,234
253,2,Nó Viaduto Duarte Pacheco,249
254,2,Nó Viaduto Duarte Pacheco,249
255,2,Nó Viaduto Duarte Pacheco,249
256,2,Nó Cruz das Oliveiras,251
257,2,Nó Cruz das Oliveiras,256
258,2,Nó Cruz das Oliveiras,256
259,2,Nó Cruz das Oliveiras,256
260,2,Nó de Monsanto,258
261,2,Nó de Monsanto,272
262,2,Nó de Monsanto,272
263,2,Nó de Monsanto,272
264,2,Nó de Miraflores (A5/IC17),274
265,2,Nó de Miraflores (A5/IC17),284
266,2,Nó de Miraflores (A5/IC17),284
267,2,Nó de Miraflores (A5/IC17),284
268,2,Nó de Linda-a-Velha,286
269,2,Nó de Linda-a-Velha,299
270,2,Nó de Linda-a-Velha,299
271,2,Nó de Linda-a-Velha,299
272,2,Nó Estádio Nacional,301
273,2,Nó Estádio Nacional,329
274,2,Nó Estádio Nacional,329
275,2,Nó Estádio Nacional,329
276,2,Nó de Oeiras,333
277,2,Nó de Oeiras,342
278,2,Nó de Oeiras,342
279,2,Nó de Oeiras,342
280,2,Nó de Carcavelos,346
281,2,Nó de Carcavelos,346
282,2,Nó de Carcavelos,348
283,2,Nó de Carcavelos,348
284,2,Nó de Oeiras,352
285,2,Nó de Oeiras,352
286,2,Nó Estádio Nacional,356
287,2,Nó Estádio Nacional,356
288,2,Nó de Linda-a-Velha,358
289,2,Nó de Linda-a-Velha,358
290,2,Nó de Miraflores (A5/IC17),360
291,2,Nó de Miraflores (A5/IC17),360
292,2,Nó de Monsanto,362
293,2,Nó de Monsanto,362
294,2,Nó Cruz das Oliveiras,364
295,2,Nó Cruz das Oliveiras,364
296,2,Nó Viaduto Duarte Pacheco,366
297,2,Nó Viaduto Duarte Pacheco,366
298,2,Nó Viaduto Duarte Pacheco,368
299,2,Nó Viaduto Duarte Pacheco,368
300,2,Nó Cruz das Oliveiras,370
301,2,Nó Cruz das Oliveiras,370
302,2,Nó de Monsanto,372
303,2,Nó de Monsanto,372
304,2,Nó de Miraflores (A5/IC17),374
305,2,Nó de Miraflores (A5/IC17),374
306,2,Nó de Linda-a-Velha,376
307,2,Nó de Linda-a-Velha,376
308,2,Nó Estádio Nacional,378
309,2,Nó Estádio Nacional,378
310,2,Nó de Oeiras,382
311,2,Nó de Oeiras,382
312,2,Nó de Carcavelos,386
313,2,Nó de Carcavelos,386
314,2,Nó de Carcavelos,468
315,2,Nó de Carcavelos,498
316,2,Nó de Carcavelos,438
317,2,Nó de Carcavelos,498
318,2,Nó de Carcavelos,498
319,2,Nó de Carcavelos,528
320,2,Nó de Carcavelos,508
321,2,Nó de Carcavelos,528
322,2,Nó de Carcavelos,528
323,2,Nó de Carcavelos,558
324,2,Nó de Carcavelos,558
325,2,Nó de Carcavelos,558
326,2,Nó de Carcavelos,560
327,2,Nó de Carcavelos,590
328,2,Nó de Carcavelos,590
329,2,Nó de Carcavelos,590
330,2,Nó de Carcavelos,0
331,2,Nó de Carcavelos,0
332,2,Nó de Carcavelos,2
333,2,Nó de Carcavelos,15
334,2,Nó de Carcavelos,15
335,2,Nó de Carcavelos,15
336,2,Nó de Oeiras,137
337,2,Nó de Oeiras,146
338,2,Nó de Oeiras,146
339,2,Nó de Oeiras,146
340,2,Nó Estádio Nacional,194
341,2,Nó Estádio Nacional,222
342,2,Nó Estádio Nacional,222
343,2,Nó Estádio Nacional,222
344,2,Nó de Linda-a-Velha,224
345,2,Nó de Linda-a-Velha,237
