Sublanço,Nó
Viaduto Duarte Pacheco - Cruz das Oliveiras,Nó Viaduto Duarte Pacheco
Viaduto Duarte Pacheco - Cruz das Oliveiras,Nó Cruz das Oliveiras
Cruz das Oliveiras - Monsanto,Nó Cruz das Oliveiras
Cruz das Oliveiras - Monsanto,Nó de Monsanto
Monsanto - Miraflores (A5/IC17),Nó de Monsanto
Monsanto - Miraflores (A5/IC17),Nó de Miraflores (A5/IC17)
Miraflores (A5/IC17) - Linda-a-Velha,Nó de Miraflores (A5/IC17)
Miraflores (A5/IC17) - Linda-a-Velha,Nó de Linda-a-Velha
Linda-a-Velha - Estádio Nacional,Nó de Linda-a-Velha
Linda-a-Velha - Estádio Nacional,Nó Estádio Nacional
Estádio Nacional - Oeiras,Nó Estádio Nacional
Estádio Nacional - Oeiras,Nó de Oeiras
Oeiras - Carcavelos,Nó de Oeiras
Oeiras - Carcavelos,Nó de Carcavelos
Carcavelos - Estoril,Nó de Carcavelos
Carcavelos - Estoril,Nó do Estoril
Estoril - Alcabideche (A5/A16),Nó do Estoril
Estoril - Alcabideche (A5/A16),Nó de Alcabideche
Alcabideche (A5/A16) - Alvide,Nó de Alcabideche
Alcabideche (A5/A16) - Alvide,Nó de Alvide
Alvide - Cascais,Nó de Alvide
Alvide - Cascais,Nó de Cascais
Estádio 3 -  Estádio Nacional,Nó do Estádio Nacional 3
Estádio 3  -  Estádio Nacional,Nó do Estádio Nacional
Estádio Nacional  -  Queluz ,Nó do Estádio Nacional
Estádio Nacional  -  Queluz ,Nó de Queluz
Queluz  -  A9/A16,Nó de Queluz
Queluz  -  A9/A16,Nó A9/A16
A9/A16  -  Radial Pontinha,Nó A9/A16
A9/A16  -  Radial Pontinha,Nó Radial da Pontinha
Radial Pontinha  -  Radial Odivelas,Nó Radial da Pontinha
Radial Pontinha  -  Radial Odivelas,Nó Radial de Odivelas
Radial Odivelas  -  A8/A9,Nó Radial de Odivelas
Radial Odivelas  -  A8/A9,Nó A9/A8
A8/A9 - Bucelas (Zambujal),Nó A9/A8
A8/A9 - Bucelas (Zambujal),Nó de Bucelas (Zambujal)
Bucelas (Zambujal)  -  A9/A10,Nó de Bucelas (Zambujal)
Bucelas (Zambujal)  -  A9/A10,Nó A9/A10
A9/A10  -  Alverca,Nó A9/A10
A9/A10  -  Alverca,Nó de Alverca
