Auto-Estrada,CO,Nó,Sequência
A5,Carcavelos,Viaduto Duarte Pacheco,0
A5,Carcavelos,Cruz das Oliveiras,1
A5,Carcavelos,Monsanto,2
A5,Carcavelos,Miraflores (A5/IC17),3
A5,Carcavelos,Linda-a-Velha,4
A5,Carcavelos,Estádio Nacional (A5/A9),5
A9,A9,Queluz,6
A9,A9,Radial da Pontinha,7
A9,A9,Radial de Odivelas,8
A9,A9,Radial da Pontinha,9
A9,A9,Queluz,10
A9,A9,Estádio Nacional (A5/A9),11
A5,Carcavelos,Oeiras,12
A5,Carcavelos,Carcavelos,13
A5,Carcavelos,Estoril,14
A5,Carcavelos,Alcabideche (A5/A16),15
A5,Carcavelos,Alvide,16
A5,Carcavelos,Cascais,17
A1,Carregado,Sacavém,1
A1,Carregado,São João da Talha,2
A1,Carregado,Sta Iria da Azóia,3
A1,Carregado,Alverca (A1/A9),4
A1,Carregado,Vila Franca de Xira II,5
A1,Carregado,Vila Franca de Xira I,6
A1,Carregado,PLLN,7
A1,Carregado,A1/A10,8
A10,A10,Arruda dos Vinhos,9
A10,A10,A9/A10,10
A10,A10,Arruda dos Vinhos,11
A10,A10,A1/A10,12
A10,A10,Benavente,13
A10,A10,A1/A10,14
A1,Carregado,Carregado,15
A1,Carregado,Aveiras de Cima,16
A1,Leiria,Cartaxo,17
A1,Leiria,Santarém,18
A1,Leiria,A1/A15,19
A1,Leiria,Torres Novas (A1/A23),20
A1,Leiria,Fátima,21
A1,Leiria,Leiria,22
A1,Leiria,Pombal,23
A1,Leiria,Soure,24
A1,Leiria,Condeixa,25
A1,Mealhada,Coimbra Sul,26
A1,Mealhada,Coimbra Norte (A1/A14),27
A14,A14,Zombaria,28
A14,A14,Coimbra Norte (A1/A14),29
A14,A14,Ançã,30
A14,A14,EN 335,31
A14,A14,Montemor-o-Velho,32
A14,A14,Santa Eulália,33
A14,A14,A14/A17,34
A14,A14,Vila Verde,35
A14,A14,Figueira da Foz,36
A14,A14,Vila Verde,37
A14,A14,A14/A17,38
A14,A14,Santa Eulália,39
A14,A14,Montemor-o-Velho,40
A14,A14,EN 335,41
A14,A14,Ançã,42
A14,A14,Coimbra Norte (A1/A14),43
A1,Mealhada,Mealhada,44
A1,Mealhada,Aveiro Sul,45
A1,Mealhada,Albergaria (A1/IP5),46
A1,Feira,Estarreja,47
A1,Feira,Feira,48
A1,Feira,Espinho (IC24),49
A1,Feira,Feiteira,50
A1,Feira,Carvalhos,51
A1,Feira,Jaca,52
A1,Feira,Santo Ovídio,53
