,Numero Voltas,Turno,Sequência,Nó,Hora Inicio,Hora Fim,Tipo,kms
0,2,0,7,Nó de Carcavelos,0,0,Início,0
1,2,0,7,Nó de Carcavelos,0,61.5,Espera,0
2,2,0,7,Nó de Carcavelos,61.5,76.5,Pausa,0
3,2,0,7,Nó de Carcavelos,76.5,76.5,Deslocação,0
4,2,0,7,Nó de Carcavelos,76.5,89.5,Visitar Nó,0
5,2,0,6,Nó de Oeiras,92.5,92.5,Deslocação,3
6,2,0,6,Nó de Oeiras,92.5,102.5,Vistoria,0
7,2,0,5,Nó Estádio Nacional,105.5,105.5,Deslocação,3
8,2,0,5,Nó Estádio Nacional,105.5,133.5,Visitar Nó,0
9,2,0,4,Nó de Linda-a-Velha,136.5,136.5,Deslocação,3
10,2,0,3,Nó de Miraflores (A5/IC17),137.5,137.5,Deslocação,1
11,2,0,2,Nó de Monsanto,138.5,138.5,Deslocação,1
12,2,0,2,Nó de Monsanto,138.5,152.5,Visitar Nó,0
13,2,0,1,Nó Cruz das Oliveiras,159.5,159.5,Deslocação,7
14,2,0,1,Nó Cruz das Oliveiras,159.5,164.5,Visitar Nó,0
15,2,0,0,Nó Viaduto Duarte Pacheco,165.5,165.5,Deslocação,1
16,2,0,0,Nó Viaduto Duarte Pacheco,165.5,165.5,Deslocação,1
17,2,0,1,Nó Cruz das Oliveiras,166.5,166.5,Deslocação,1
18,2,0,2,Nó de Monsanto,173.5,173.5,Deslocação,7
19,2,0,3,Nó de Miraflores (A5/IC17),174.5,174.5,Deslocação,1
20,2,0,3,Nó de Miraflores (A5/IC17),174.5,184.5,Visitar Nó,0
21,2,0,4,Nó de Linda-a-Velha,185.5,185.5,Deslocação,1
22,2,0,5,Nó Estádio Nacional,188.5,188.5,Deslocação,3
23,2,0,5,Nó Estádio Nacional,188.5,216.5,Visitar Nó,0
24,2,0,5,Nó Estádio Nacional,216.5,226.5,Vistoria,0
25,2,0,6,Nó de Oeiras,229.5,229.5,Deslocação,3
26,2,0,7,Nó de Carcavelos,232.5,232.5,Deslocação,3
27,2,0,7,Nó de Carcavelos,232.5,292.5,Pausa,0
28,2,0,7,Nó de Carcavelos,292.5,292.5,Deslocação,3
29,2,0,6,Nó de Oeiras,295.5,295.5,Deslocação,3
30,2,0,6,Nó de Oeiras,295.5,304.5,Visitar Nó,0
31,2,0,5,Nó Estádio Nacional,307.5,307.5,Deslocação,3
32,2,0,4,Nó de Linda-a-Velha,310.5,310.5,Deslocação,3
33,2,0,4,Nó de Linda-a-Velha,310.5,323.5,Visitar Nó,0
34,2,0,3,Nó de Miraflores (A5/IC17),324.5,324.5,Deslocação,1
35,2,0,3,Nó de Miraflores (A5/IC17),324.5,334.5,Visitar Nó,0
36,2,0,2,Nó de Monsanto,335.5,335.5,Deslocação,1
37,2,0,1,Nó Cruz das Oliveiras,342.5,342.5,Deslocação,7
38,2,0,0,Nó Viaduto Duarte Pacheco,343.5,343.5,Deslocação,1
39,2,0,0,Nó Viaduto Duarte Pacheco,343.5,343.5,Deslocação,1
40,2,0,0,Nó Viaduto Duarte Pacheco,343.5,358.5,Visitar Nó,0
41,2,0,1,Nó Cruz das Oliveiras,359.5,359.5,Deslocação,1
42,2,0,1,Nó Cruz das Oliveiras,359.5,421,Espera,0
43,2,0,1,Nó Cruz das Oliveiras,421,426,Visitar Nó,0
44,2,0,2,Nó de Monsanto,465,465,Deslocação,7
45,2,0,2,Nó de Monsanto,465,479,Visitar Nó,0
46,2,0,3,Nó de Miraflores (A5/IC17),480,480,Deslocação,1
47,2,0,4,Nó de Linda-a-Velha,481,481,Deslocação,1
48,2,0,4,Nó de Linda-a-Velha,481,494,Visitar Nó,0
49,2,0,5,Nó Estádio Nacional,497,497,Deslocação,3
50,2,0,6,Nó de Oeiras,500,500,Deslocação,3
51,2,0,6,Nó de Oeiras,500,509,Visitar Nó,0
52,2,0,7,Nó de Carcavelos,512,512,Deslocação,3
53,2,0,7,Nó de Carcavelos,512,512,Deslocação,3
54,2,0,7,Nó de Carcavelos,512,512,Deslocação,3
55,2,1,7,Nó de Carcavelos,480,480,Início,0
56,2,1,7,Nó de Carcavelos,480,480,Deslocação,0
57,2,1,6,Nó de Oeiras,483,483,Deslocação,3
58,2,1,6,Nó de Oeiras,483,493,Vistoria,0
59,2,1,5,Nó Estádio Nacional,496,496,Deslocação,3
60,2,1,4,Nó de Linda-a-Velha,499,499,Deslocação,3
61,2,1,3,Nó de Miraflores (A5/IC17),500,500,Deslocação,1
62,2,1,2,Nó de Monsanto,501,501,Deslocação,1
63,2,1,2,Nó de Monsanto,501,515,Visitar Nó,0
64,2,1,1,Nó Cruz das Oliveiras,522,522,Deslocação,7
65,2,1,1,Nó Cruz das Oliveiras,522,527,Visitar Nó,0
66,2,1,0,Nó Viaduto Duarte Pacheco,528,528,Deslocação,1
