,Numero Voltas,Turno,Sequência,Nó,Hora Inicio,Hora Fim,Última Passagem (Hora Fim)
0,2,0,7,Nó de Carcavelos,0.0,89.5,0.0
1,2,0,6,Nó de Oeiras,92.5,102.5,0.0
2,2,0,5,Nó Estádio Nacional,105.5,133.5,0.0
3,2,0,4,Nó de Linda-a-Velha,136.5,136.5,0.0
4,2,0,3,Nó de Miraflores (A5/IC17),137.5,137.5,0.0
5,2,0,2,Nó de Monsanto,138.5,152.5,0.0
6,2,0,1,Nó Cruz das Oliveiras,159.5,164.5,0.0
7,2,0,0,Nó Viaduto Duarte Pacheco,165.5,165.5,0.0
8,2,0,1,Nó Cruz das Oliveiras,166.5,166.5,164.5
9,2,0,2,Nó de Monsanto,173.5,173.5,152.5
10,2,0,3,Nó de Miraflores (A5/IC17),174.5,184.5,137.5
11,2,0,4,Nó de Linda-a-Velha,185.5,185.5,136.5
12,2,0,5,Nó Estádio Nacional,188.5,226.5,133.5
13,2,0,6,Nó de Oeiras,229.5,229.5,102.5
14,2,0,7,Nó de Carcavelos,232.5,292.5,89.5
15,2,0,6,Nó de Oeiras,295.5,304.5,229.5
16,2,0,5,Nó Estádio Nacional,307.5,307.5,226.5
17,2,0,4,Nó de Linda-a-Velha,310.5,323.5,185.5
18,2,0,3,Nó de Miraflores (A5/IC17),324.5,334.5,184.5
19,2,0,2,Nó de Monsanto,335.5,335.5,173.5
20,2,0,1,Nó Cruz das Oliveiras,342.5,342.5,166.5
21,2,0,0,Nó Viaduto Duarte Pacheco,343.5,358.5,165.5
22,2,0,1,Nó Cruz das Oliveiras,359.5,426.0,342.5
23,2,0,2,Nó de Monsanto,465.0,479.0,335.5
24,2,0,3,Nó de Miraflores (A5/IC17),480.0,480.0,334.5
25,2,0,4,Nó de Linda-a-Velha,481.0,494.0,323.5
26,2,0,5,Nó Estádio Nacional,497.0,497.0,307.5
27,2,0,6,Nó de Oeiras,500.0,509.0,304.5
28,2,0,7,Nó de Carcavelos,512.0,512.0,292.5
29,2,1,7,Nó de Carcavelos,480.0,480.0,512.0
30,2,1,6,Nó de Oeiras,483.0,493.0,509.0
31,2,1,5,Nó Estádio Nacional,496.0,496.0,497.0
32,2,1,4,Nó de Linda-a-Velha,499.0,499.0,494.0
33,2,1,3,Nó de Miraflores (A5/IC17),500.0,500.0,480.0
34,2,1,2,Nó de Monsanto,501.0,515.0,479.0
35,2,1,1,Nó Cruz das Oliveiras,522.0,527.0,426.0
36,2,1,0,Nó Viaduto Duarte Pacheco,528.0,543.0,358.5
37,2,1,1,Nó Cruz das Oliveiras,544.0,564.0,527.0
38,2,1,2,Nó de Monsanto,571.0,585.0,515.0
39,2,1,3,Nó de Miraflores (A5/IC17),586.0,596.0,500.0
40,2,1,4,Nó de Linda-a-Velha,597.0,610.0,499.0
41,2,1,5,Nó Estádio Nacional,613.0,651.0,496.0
42,2,1,6,Nó de Oeiras,654.0,663.0,493.0
43,2,1,7,Nó de Carcavelos,666.0,739.0,480.0
44,2,1,6,Nó de Oeiras,742.0,751.0,663.0
45,2,1,5,Nó Estádio Nacional,754.0,782.0,651.0
46,2,1,4,Nó de Linda-a-Velha,785.0,798.0,610.0
47,2,1,3,Nó de Miraflores (A5/IC17),799.0,809.0,596.0
48,2,1,2,Nó de Monsanto,810.0,810.0,585.0
49,2,1,1,Nó Cruz das Oliveiras,817.0,817.0,564.0
50,2,1,0,Nó Viaduto Duarte Pacheco,818.0,818.0,543.0
51,2,1,1,Nó Cruz das Oliveiras,819.0,880.5,817.0
52,2,1,2,Nó de Monsanto,887.5,887.5,810.0
53,2,1,3,Nó de Miraflores (A5/IC17),888.5,888.5,809.0
54,2,1,4,Nó de Linda-a-Velha,889.5,889.5,798.0
55,2,1,5,Nó Estádio Nacional,892.5,892.5,782.0
56,2,1,6,Nó de Oeiras,895.5,957.0,751.0
57,2,1,7,Nó de Carcavelos,960.0,960.0,739.0
58,2,2,7,Nó de Carcavelos,960.0,960.0,960.0
59,2,2,6,Nó de Oeiras,963.0,982.0,957.0
60,2,2,5,Nó Estádio Nacional,985.0,1013.0,892.5
61,2,2,4,Nó de Linda-a-Velha,1016.0,1029.0,889.5
62,2,2,3,Nó de Miraflores (A5/IC17),1030.0,1040.0,888.5
63,2,2,2,Nó de Monsanto,1041.0,1055.0,887.5
64,2,2,1,Nó Cruz das Oliveiras,1062.0,1082.0,880.5
65,2,2,0,Nó Viaduto Duarte Pacheco,1083.0,1098.0,818.0
66,2,2,1,Nó Cruz das Oliveiras,1099.0,1104.0,1082.0
67,2,2,2,Nó de Monsanto,1111.0,1125.0,1055.0
68,2,2,3,Nó de Miraflores (A5/IC17),1126.0,1136.0,1040.0
69,2,2,4,Nó de Linda-a-Velha,1137.0,1150.0,1029.0
70,2,2,5,Nó Estádio Nacional,1153.0,1191.0,1013.0
71,2,2,6,Nó de Oeiras,1194.0,1203.0,982.0
72,2,2,7,Nó de Carcavelos,1206.0,1279.0,960.0
73,2,2,6,Nó de Oeiras,1282.0,1343.5,1203.0
74,2,2,5,Nó Estádio Nacional,1346.5,1346.5,1191.0
75,2,2,4,Nó de Linda-a-Velha,1349.5,1349.5,1150.0
76,2,2,3,Nó de Miraflores (A5/IC17),1350.5,1350.5,1136.0
77,2,2,2,Nó de Monsanto,1351.5,1351.5,1125.0
78,2,2,1,Nó Cruz das Oliveiras,1358.5,1420.0,1104.0
79,2,2,0,Nó Viaduto Duarte Pacheco,1421.0,1421.0,1098.0
80,2,2,1,Nó Cruz das Oliveiras,1422.0,1422.0,1420.0
81,2,2,2,Nó de Monsanto,1429.0,1429.0,1351.5
82,2,2,3,Nó de Miraflores (A5/IC17),1430.0,1430.0,1350.5
83,2,2,4,Nó de Linda-a-Velha,1431.0,1431.0,1349.5
84,2,2,5,Nó Estádio Nacional,1434.0,1434.0,1346.5
85,2,2,6,Nó de Oeiras,1437.0,1437.0,1343.5
86,2,2,7,Nó de Carcavelos,1440.0,1440.0,1279.0
