,Número de Voltas,Turno,Nó,TMP
0,1,0,Nó Viaduto Duarte Pacheco,15.0
1,1,0,Nó Cruz das Oliveiras,17.0
2,1,0,Nó de Monsanto,41.0
3,1,0,Nó de Miraflores (A5/IC17),71.0
4,1,0,Nó de Linda-a-Velha,93.0
5,1,0,Nó Estádio Nacional,125.00000000000003
6,1,0,Nó de Oeiras,250.66666666666674
7,1,0,Nó de Carcavelos,338.33333333333337
8,1,1,Nó Viaduto Duarte Pacheco,15.0
9,1,1,Nó Cruz das Oliveiras,17.0
10,1,1,Nó de Monsanto,41.0
11,1,1,Nó de Miraflores (A5/IC17),71.0
12,1,1,Nó de Linda-a-Velha,93.0
13,1,1,Nó Estádio Nacional,161.0
14,1,1,Nó de Oeiras,286.66666666666663
15,1,1,Nó de Carcavelos,374.33333333333326
16,1,2,Nó Viaduto Duarte Pacheco,15.0
17,1,2,Nó Cruz das Oliveiras,17.0
18,1,2,Nó de Monsanto,56.0
19,1,2,Nó de Miraflores (A5/IC17),86.0
20,1,2,Nó de Linda-a-Velha,108.0
21,1,2,Nó Estádio Nacional,140.0
22,1,2,Nó de Oeiras,265.66666666666674
23,1,2,Nó de Carcavelos,353.3333333333335
24,2,0,Nó Viaduto Duarte Pacheco,178.0
25,2,0,Nó Cruz das Oliveiras,176.0
26,2,0,Nó de Monsanto,162.0
27,2,0,Nó de Miraflores (A5/IC17),140.0
28,2,0,Nó de Linda-a-Velha,125.0
29,2,0,Nó Estádio Nacional,96.0
30,2,0,Nó de Oeiras,163.5
31,2,0,Nó de Carcavelos,187.5
32,2,1,Nó Viaduto Duarte Pacheco,247.0
33,2,1,Nó Cruz das Oliveiras,240.0
34,2,1,Nó de Monsanto,212.0
35,2,1,Nó de Miraflores (A5/IC17),190.0
36,2,1,Nó de Linda-a-Velha,162.0
37,2,1,Nó Estádio Nacional,117.0
38,2,1,Nó de Oeiras,161.0
39,2,1,Nó de Carcavelos,221.0
40,2,2,Nó Viaduto Duarte Pacheco,289.5
41,2,2,Nó Cruz das Oliveiras,282.5
42,2,2,Nó de Monsanto,254.5
43,2,2,Nó de Miraflores (A5/IC17),242.5
44,2,2,Nó de Linda-a-Velha,227.5
45,2,2,Nó Estádio Nacional,155.5
46,2,2,Nó de Oeiras,184.0
47,2,2,Nó de Carcavelos,218.0
48,3,0,Nó Viaduto Duarte Pacheco,163.0
49,3,0,Nó Cruz das Oliveiras,161.0
50,3,0,Nó de Monsanto,133.0
51,3,0,Nó de Miraflores (A5/IC17),121.0
52,3,0,Nó de Linda-a-Velha,106.0
53,3,0,Nó Estádio Nacional,90.0
54,3,0,Nó de Oeiras,95.0
55,3,0,Nó de Carcavelos,120.0
56,3,1,Nó Viaduto Duarte Pacheco,235.0
57,3,1,Nó Cruz das Oliveiras,213.0
58,3,1,Nó de Monsanto,171.0
59,3,1,Nó de Miraflores (A5/IC17),149.0
60,3,1,Nó de Linda-a-Velha,134.0
61,3,1,Nó Estádio Nacional,103.0
62,3,1,Nó de Oeiras,147.0
63,3,1,Nó de Carcavelos,172.0
64,3,2,Nó Viaduto Duarte Pacheco,272.0
65,3,2,Nó Cruz das Oliveiras,265.0
66,3,2,Nó de Monsanto,237.0
67,3,2,Nó de Miraflores (A5/IC17),225.0
68,3,2,Nó de Linda-a-Velha,210.0
69,3,2,Nó Estádio Nacional,166.0
70,3,2,Nó de Oeiras,212.0
71,3,2,Nó de Carcavelos,246.0
72,4,0,Nó Viaduto Duarte Pacheco,126.0
73,4,0,Nó Cruz das Oliveiras,119.0
74,4,0,Nó de Monsanto,91.0
75,4,0,Nó de Miraflores (A5/IC17),89.0
76,4,0,Nó de Linda-a-Velha,87.0
77,4,0,Nó Estádio Nacional,81.0
78,4,0,Nó de Oeiras,79.0
79,4,0,Nó de Carcavelos,95.0
80,4,1,Nó Viaduto Duarte Pacheco,186.0
81,4,1,Nó Cruz das Oliveiras,184.0
82,4,1,Nó de Monsanto,170.0
83,4,1,Nó de Miraflores (A5/IC17),158.0
84,4,1,Nó de Linda-a-Velha,143.0
85,4,1,Nó Estádio Nacional,98.0
86,4,1,Nó de Oeiras,114.0
87,4,1,Nó de Carcavelos,139.0
88,4,2,Nó Viaduto Duarte Pacheco,237.0
89,4,2,Nó Cruz das Oliveiras,230.0
90,4,2,Nó de Monsanto,202.0
91,4,2,Nó de Miraflores (A5/IC17),190.0
92,4,2,Nó de Linda-a-Velha,162.0
93,4,2,Nó Estádio Nacional,112.0
94,4,2,Nó de Oeiras,156.0
95,4,2,Nó de Carcavelos,181.0
