,No.Voltas,Turno,Carro,C.O.,Nó,Sublanço,Kms,Incidências,Sentido,Auto Estradas
0,1,0,0,Feira,Santo Ovídio,,0.0,0.0,Sequência AE_1,A1
1,1,0,0,Feira,Jaca,Santo Ovídio - Jaca,1.839,0.37564897960000004,Sequência AE_1,A1
2,1,0,0,Feira,Carvalhos,Jaca - Carvalhos,2.745,0.31692832208493155,Sequência AE_1,A1
3,1,0,0,Feira,Feiteira,Carvalhos - Feiteira,3.37,0.36881986195433786,Sequência AE_1,A1
4,1,0,0,Feira,Espinho (IC24),Feiteira - Espinho (IC24),3.92,0.5174556993264839,Sequência AE_1,A1
5,1,0,0,Feira,Feira,Espinho (IC24) - Feira,9.8,0.7298388397917808,Sequência AE_1,A1
6,1,0,0,Feira,Estarreja,Feira - Estarreja,16.832,0.6392676301972603,Sequência AE_1,A1
7,1,0,1,Mealhada,Estarreja,,0.0,0.0,Sequência AE_1,A1
8,1,0,1,Mealhada,Albergaria (A1/IP5),Estarreja - Albergaria (A1/IP5),10.428,0.4853197548027397,Sequência AE_1,A1
9,1,0,1,Mealhada,Aveiro Sul,Albergaria (A1/IP5) - Aveiro Sul,14.78,0.8119130670849315,Sequência AE_1,A1
10,1,0,1,Mealhada,Mealhada,Aveiro Sul - Mealhada,23.633,0.4296318493150685,Sequência AE_1,A1
11,1,0,1,Mealhada,Coimbra Norte (A1/A14),Mealhada - Coimbra Norte (A1/A14),11.707,0.3233424657534247,Sequência AE_1,A1
12,1,0,2,Leiria,Coimbra Norte (A1/A14),,0.0,0.0,Sequência AE_1,A1 + A14
13,1,0,2,Leiria,Zombaria,Coimbra Norte (A1/A14) - Zombaria,1.1,0.05409795458493151,Sequência AE_1,A1 + A14
14,1,0,2,Leiria,Ançã,Zombaria - Ançã,5.5,0.0785528430479452,Sequência AE_1,A1 + A14
15,1,0,2,Leiria,EN 335,Ançã - EN 335,9.6,0.0,Sequência AE_1,A1 + A14
16,1,0,2,Leiria,Montemor-o-Velho,EN 335 - Montemor-o-Velho,8.0,0.06834246575525114,Sequência AE_1,A1 + A14
17,1,0,2,Leiria,Santa Eulália,Montemor-o-Velho - Santa Eulália,4.8,0.145283616030137,Sequência AE_1,A1 + A14
18,1,0,2,Leiria,A14/A17,Santa Eulália - A14/A17,7.2,0.025464774954337903,Sequência AE_1,A1 + A14
19,1,0,2,Leiria,Vila Verde,A14/A17 - Vila Verde,1.6,0.06957077625570776,Sequência AE_1,A1 + A14
20,1,0,2,Leiria,Figueira da Foz,Vila Verde - Figueira da Foz,3.2,0.0,Sequência AE_1,A1 + A14
21,1,0,2,Leiria,Coimbra Sul,Figueira da Foz - Coimbra Sul,49.303,0.25238134948219176,Sequência AE_1,A1 + A14
22,1,0,3,Leiria,Coimbra Sul,,0.0,0.0,Sequência AE_1,A1
23,1,0,3,Leiria,Condeixa,Coimbra Sul - Condeixa,7.681,0.33125275563561646,Sequência AE_1,A1
24,1,0,3,Leiria,Soure,Condeixa - Soure,13.045,0.4002388189273972,Sequência AE_1,A1
25,1,0,3,Leiria,Pombal,Soure - Pombal,14.736,0.652505016569863,Sequência AE_1,A1
26,1,0,3,Leiria,Leiria,Pombal - Leiria,24.065,0.5700248198013699,Sequência AE_1,A1
27,1,0,4,Leiria,Leiria,,0.0,0.0,Sequência AE_1,A1
28,1,0,4,Leiria,Fátima,Leiria - Fátima,15.235,0.761054449026484,Sequência AE_1,A1
29,1,0,4,Leiria,Torres Novas (A1/A23),Fátima - Torres Novas (A1/A23),20.325,0.9786293242273971,Sequência AE_1,A1
30,1,0,4,Leiria,A1/A15,Torres Novas (A1/A23) - A1/A15,27.015,0.1087966280219178,Sequência AE_1,A1
31,1,0,4,Leiria,Santarém,A1/A15 - Santarém,1.185,0.3100284996826484,Sequência AE_1,A1
32,1,0,5,Cartaxo,Santarém,,0.0,0.0,Sequência AE_1,A1 + A10
33,1,0,5,Cartaxo,Cartaxo,Santarém - Cartaxo,8.08,0.4706021274657534,Sequência AE_1,A1 + A10
34,1,0,5,Cartaxo,Aveiras de Cima,Cartaxo - Aveiras de Cima,11.286,0.7998764298287672,Sequência AE_1,A1 + A10
35,1,0,5,Cartaxo,Carregado,Aveiras de Cima - Carregado,15.516,0.08569996659315067,Sequência AE_1,A1 + A10
36,1,0,5,Cartaxo,A1/A10,Carregado - A1/A10,0.868,0.19903972602739725,Sequência AE_1,A1 + A10
37,1,0,5,Cartaxo,Arruda dos Vinhos,A1/A10 - Arruda dos Vinhos,11.0,0.13018185162739723,Sequência AE_1,A1 + A10
38,1,0,6,Carregado,Arruda dos Vinhos,Carregado - Arruda dos Vinhos,7.5,0.0,Sequência AE_1,A10 + A1
39,1,0,6,Carregado,A9/A10,Arruda dos Vinhos - A9/A10,6.9,0.17885771809315065,Sequência AE_1,A10 + A1
40,1,0,6,Carregado,Benavente,A9/A10 - Benavente,32.4,0.16408889538904112,Sequência AE_1,A10 + A1
41,1,0,6,Carregado,PLLN,Benavente - PLLN,51.525,0.3319207861506848,Sequência AE_1,A10 + A1
42,1,0,6,Carregado,Vila Franca de Xira I,PLLN - Vila Franca de Xira I,3.975,0.0,Sequência AE_1,A10 + A1
43,1,0,7,Carregado,Vila Franca de Xira I,Carregado - Vila Franca de Xira I,62.25,0.0,Sequência AE_1,A1
44,1,0,7,Carregado,Vila Franca de Xira II,Vila Franca de Xira I - Vila Franca de Xira II,3.4,0.8841323062904111,Sequência AE_1,A1
45,1,0,7,Carregado,Alverca (A1/A9),Vila Franca de Xira II - Alverca (A1/A9),7.46,0.6415634703196348,Sequência AE_1,A1
46,1,0,7,Carregado,Sta Iria da Azóia,Alverca (A1/A9) - Sta Iria da Azóia,6.24,0.3094879332388128,Sequência AE_1,A1
47,1,0,8,Carregado,Sta Iria da Azóia,Carregado - Sta Iria da Azóia,72.75,0.0,Sequência AE_1,A1
48,1,0,8,Carregado,São João da Talha,Sta Iria da Azóia - São João da Talha,2.95,0.6242191779945204,Sequência AE_1,A1
49,1,0,8,Carregado,Sacavém,São João da Talha - Sacavém,3.85,0.0,Sequência AE_1,A1
50,1,1,9,Feira,Santo Ovídio,,0.0,0.0,Sequência AE_1,A1
