,Simulação,Número de Voltas,Turno,Nó,Hora Inicio,Hora Fim,Tipo
0,47,1,0,Nó de Carcavelos,0.0,81.66666666666666,
1,47,1,0,Nó de Oeiras,84.66666666666666,157.33333333333331,
2,47,1,0,Nó Estádio Nacional,160.33333333333331,241.99999999999997,
3,47,1,0,Nó de Linda-a-Velha,244.99999999999997,258.0,
4,47,1,0,Nó de Linda-a-Velha,258.0,261.0,Deslocação Incidência
5,47,1,0,Nó de Miraflores (A5/IC17),261.0,262.0,Deslocação Incidência
6,47,1,0,Nó de Monsanto,262.0,263.0,Deslocação Incidência
7,47,1,0,Nó Cruz das Oliveiras,263.0,293.0,Incidência
8,47,1,0,Nó Cruz das Oliveiras,293.0,294.0,Deslocação Incidência
9,47,1,0,Nó de Monsanto,294.0,301.0,Deslocação Incidência
10,47,1,0,Nó de Miraflores (A5/IC17),301.0,302.0,Deslocação Incidência
11,47,1,0,Nó de Miraflores (A5/IC17),303.0,313.0,
12,47,1,0,Nó de Monsanto,314.0,328.0,
13,47,1,0,Nó Cruz das Oliveiras,335.0,340.0,
14,47,1,0,Nó Viaduto Duarte Pacheco,341.0,356.0,
15,47,1,0,Nó Cruz das Oliveiras,357.0,362.0,
16,47,1,0,Nó de Monsanto,369.0,383.0,
17,47,1,0,Nó de Miraflores (A5/IC17),384.0,394.0,
18,47,1,0,Nó de Linda-a-Velha,395.0,408.0,
19,47,1,0,Nó Estádio Nacional,411.0,449.00000000000006,
20,47,1,0,Nó de Oeiras,452.00000000000006,461.00000000000006,
21,47,1,0,Nó de Carcavelos,464.00000000000006,524.0,
22,66,1,0,Nó de Carcavelos,0.0,81.66666666666666,
23,66,1,0,Nó de Oeiras,84.66666666666666,157.33333333333331,
24,66,1,0,Nó Estádio Nacional,160.33333333333331,241.99999999999997,
25,66,1,0,Nó de Linda-a-Velha,244.99999999999997,258.0,
26,66,1,0,Nó de Linda-a-Velha,258.0,288.0,Incidência
27,66,1,0,Nó de Miraflores (A5/IC17),333.0,343.0,
28,66,1,0,Nó de Monsanto,344.0,358.0,
29,66,1,0,Nó Cruz das Oliveiras,365.0,370.0,
30,66,1,0,Nó Viaduto Duarte Pacheco,371.0,386.0,
31,66,1,0,Nó Cruz das Oliveiras,387.0,392.0,
32,66,1,0,Nó de Monsanto,399.0,413.0,
33,66,1,0,Nó de Miraflores (A5/IC17),414.0,424.0,
34,66,1,0,Nó de Linda-a-Velha,425.0,438.0,
35,66,1,0,Nó Estádio Nacional,441.0,479.00000000000006,
36,66,1,0,Nó de Oeiras,482.00000000000006,491.00000000000006,
37,66,1,0,Nó de Carcavelos,494.00000000000006,554.0,
38,67,1,0,Nó de Carcavelos,0.0,81.66666666666666,
39,67,1,0,Nó de Oeiras,84.66666666666666,157.33333333333331,
40,67,1,0,Nó Estádio Nacional,160.33333333333331,241.99999999999997,
41,67,1,0,Nó Estádio Nacional,241.99999999999997,244.99999999999997,Deslocação Incidência
42,67,1,0,Nó de Linda-a-Velha,244.99999999999997,247.99999999999997,Deslocação Incidência
43,67,1,0,Nó de Miraflores (A5/IC17),247.99999999999997,248.99999999999997,Deslocação Incidência
44,67,1,0,Nó de Monsanto,248.99999999999997,249.99999999999997,Deslocação Incidência
45,67,1,0,Nó Cruz das Oliveiras,249.99999999999997,280.0,Incidência
46,67,1,0,Nó Cruz das Oliveiras,280.0,281.0,Deslocação Incidência
47,67,1,0,Nó de Monsanto,281.0,288.0,Deslocação Incidência
48,67,1,0,Nó de Miraflores (A5/IC17),288.0,289.0,Deslocação Incidência
49,67,1,0,Nó de Linda-a-Velha,289.0,290.0,Deslocação Incidência
50,67,1,0,Nó de Linda-a-Velha,293.0,306.0,
51,67,1,0,Nó de Miraflores (A5/IC17),381.0,391.0,
52,67,1,0,Nó de Monsanto,392.0,406.0,
53,67,1,0,Nó Cruz das Oliveiras,413.0,418.0,
54,67,1,0,Nó Viaduto Duarte Pacheco,419.0,434.0,
55,67,1,0,Nó Cruz das Oliveiras,435.0,440.0,
56,67,1,0,Nó de Monsanto,447.0,461.0,
57,67,1,0,Nó de Miraflores (A5/IC17),462.0,472.0,
58,67,1,0,Nó de Linda-a-Velha,473.0,486.0,
59,67,1,0,Nó Estádio Nacional,489.0,527.0000000000001,
60,67,1,0,Nó de Oeiras,530.0000000000001,539.0000000000001,
61,67,1,0,Nó de Carcavelos,542.0000000000001,602.0,
62,104,1,0,Nó de Carcavelos,0.0,81.66666666666666,
63,104,1,0,Nó de Oeiras,84.66666666666666,157.33333333333331,
