Stop Start,Stop End,Lat Start,Long Start,Lat End,Long End,Distance (km),Duration (min)
Coimbra Norte (A1/A14),Coimbra Norte (A1/A14),40.26903044,-8.483327664,40.26903044,-8.483327664,0,0
Coimbra Norte (A1/A14),Coimbra Sul,40.26903044,-8.483327664,40.18951372,-8.488160602,29,21
Coimbra Norte (A1/A14),Mealhada,40.26903044,-8.483327664,40.37286613,-8.493435181,12,6
Coimbra Norte (A1/A14),Albergaria (A1/IP5),40.26903044,-8.483327664,40.70489581,-8.522044976,52,26
Coimbra Norte (A1/A14),Portagem,40.26903044,-8.483327664,40.68924722,-8.523961111,55,31
Coimbra Norte (A1/A14),Estarreja,40.26903044,-8.483327664,40.78236382,-8.544700822,61,31
Coimbra Norte (A1/A14),Aveiro Sul,40.26903044,-8.483327664,40.56379544,-8.561086614,35,18
Coimbra Norte (A1/A14),Feira,40.26903044,-8.483327664,40.93107064,-8.569931162,78,39
Coimbra Norte (A1/A14),Espinho (IC24),40.26903044,-8.483327664,41.00603673,-8.582256038,87,44
Coimbra Norte (A1/A14),Feiteira,40.26903044,-8.483327664,41.04830372,-8.571150958,92,47
Coimbra Norte (A1/A14),Carvalhos,40.26903044,-8.483327664,41.07289744,-8.580874642,95,49
Coimbra Norte (A1/A14),Jaca,40.26903044,-8.483327664,41.08855679,-8.585936813,97,50
Coimbra Norte (A1/A14),Santo Ovídio,40.26903044,-8.483327664,41.08855679,-8.585936813,97,50
Coimbra Sul,Coimbra Norte (A1/A14),40.18951372,-8.488160602,40.26903044,-8.483327664,9,5
Coimbra Sul,Coimbra Sul,40.18951372,-8.488160602,40.18951372,-8.488160602,0,0
Coimbra Sul,Mealhada,40.18951372,-8.488160602,40.37286613,-8.493435181,21,11
Coimbra Sul,Albergaria (A1/IP5),40.18951372,-8.488160602,40.70489581,-8.522044976,61,31
Coimbra Sul,Portagem,40.18951372,-8.488160602,40.68924722,-8.523961111,64,35
Coimbra Sul,Estarreja,40.18951372,-8.488160602,40.78236382,-8.544700822,70,35
Coimbra Sul,Aveiro Sul,40.18951372,-8.488160602,40.56379544,-8.561086614,44,22
Coimbra Sul,Feira,40.18951372,-8.488160602,40.93107064,-8.569931162,87,44
Coimbra Sul,Espinho (IC24),40.18951372,-8.488160602,41.00603673,-8.582256038,96,48
Coimbra Sul,Feiteira,40.18951372,-8.488160602,41.04830372,-8.571150958,101,51
Coimbra Sul,Carvalhos,40.18951372,-8.488160602,41.07289744,-8.580874642,104,53
Coimbra Sul,Jaca,40.18951372,-8.488160602,41.08855679,-8.585936813,106,54
Coimbra Sul,Santo Ovídio,40.18951372,-8.488160602,41.08855679,-8.585936813,106,54
Mealhada,Coimbra Norte (A1/A14),40.37286613,-8.493435181,40.26903044,-8.483327664,78,42
Mealhada,Coimbra Sul,40.37286613,-8.493435181,40.18951372,-8.488160602,86,47
Mealhada,Mealhada,40.37286613,-8.493435181,40.37286613,-8.493435181,0,0
Mealhada,Albergaria (A1/IP5),40.37286613,-8.493435181,40.70489581,-8.522044976,40,20
Mealhada,Portagem,40.37286613,-8.493435181,40.68924722,-8.523961111,43,24
Mealhada,Estarreja,40.37286613,-8.493435181,40.78236382,-8.544700822,49,25
Mealhada,Aveiro Sul,40.37286613,-8.493435181,40.56379544,-8.561086614,23,11
Mealhada,Feira,40.37286613,-8.493435181,40.93107064,-8.569931162,66,33
Mealhada,Espinho (IC24),40.37286613,-8.493435181,41.00603673,-8.582256038,75,38
Mealhada,Feiteira,40.37286613,-8.493435181,41.04830372,-8.571150958,80,41
Mealhada,Carvalhos,40.37286613,-8.493435181,41.07289744,-8.580874642,83,42
Mealhada,Jaca,40.37286613,-8.493435181,41.08855679,-8.585936813,85,44
Mealhada,Santo Ovídio,40.37286613,-8.493435181,41.08855679,-8.585936813,85,44
Albergaria (A1/IP5),Coimbra Norte (A1/A14),40.70489581,-8.522044976,40.26903044,-8.483327664,88,47
Albergaria (A1/IP5),Coimbra Sul,40.70489581,-8.522044976,40.18951372,-8.488160602,96,52
Albergaria (A1/IP5),Mealhada,40.70489581,-8.522044976,40.37286613,-8.493435181,87,49
Albergaria (A1/IP5),Albergaria (A1/IP5),40.70489581,-8.522044976,40.70489581,-8.522044976,0,0
Albergaria (A1/IP5),Portagem,40.70489581,-8.522044976,40.68924722,-8.523961111,24,17
Albergaria (A1/IP5),Estarreja,40.70489581,-8.522044976,40.78236382,-8.544700822,9,5
Albergaria (A1/IP5),Aveiro Sul,40.70489581,-8.522044976,40.56379544,-8.561086614,85,47
Albergaria (A1/IP5),Feira,40.70489581,-8.522044976,40.93107064,-8.569931162,26,13
Albergaria (A1/IP5),Espinho (IC24),40.70489581,-8.522044976,41.00603673,-8.582256038,35,18
Albergaria (A1/IP5),Feiteira,40.70489581,-8.522044976,41.04830372,-8.571150958,40,21
Albergaria (A1/IP5),Carvalhos,40.70489581,-8.522044976,41.07289744,-8.580874642,43,23
Albergaria (A1/IP5),Jaca,40.70489581,-8.522044976,41.08855679,-8.585936813,45,24
Albergaria (A1/IP5),Santo Ovídio,40.70489581,-8.522044976,41.08855679,-8.585936813,45,24
Portagem,Coimbra Norte (A1/A14),40.68924722,-8.523961111,40.26903044,-8.483327664,69,38
Portagem,Coimbra Sul,40.68924722,-8.523961111,40.18951372,-8.488160602,78,43
Portagem,Mealhada,40.68924722,-8.523961111,40.37286613,-8.493435181,68,40
Portagem,Albergaria (A1/IP5),40.68924722,-8.523961111,40.70489581,-8.522044976,4,4
Portagem,Portagem,40.68924722,-8.523961111,40.68924722,-8.523961111,0,0
Portagem,Estarreja,40.68924722,-8.523961111,40.78236382,-8.544700822,13,9
Portagem,Aveiro Sul,40.68924722,-8.523961111,40.56379544,-8.561086614,67,38
Portagem,Feira,40.68924722,-8.523961111,40.93107064,-8.569931162,30,17
Portagem,Espinho (IC24),40.68924722,-8.523961111,41.00603673,-8.582256038,39,22
Portagem,Feiteira,40.68924722,-8.523961111,41.04830372,-8.571150958,44,25
Portagem,Carvalhos,40.68924722,-8.523961111,41.07289744,-8.580874642,47,27
Portagem,Jaca,40.68924722,-8.523961111,41.08855679,-8.585936813,49,28
Portagem,Santo Ovídio,40.68924722,-8.523961111,41.08855679,-8.585936813,49,28
Estarreja,Coimbra Norte (A1/A14),40.78236382,-8.544700822,40.26903044,-8.483327664,113,60
Estarreja,Coimbra Sul,40.78236382,-8.544700822,40.18951372,-8.488160602,122,65
Estarreja,Mealhada,40.78236382,-8.544700822,40.37286613,-8.493435181,112,62
Estarreja,Albergaria (A1/IP5),40.78236382,-8.544700822,40.70489581,-8.522044976,52,31
Estarreja,Portagem,40.78236382,-8.544700822,40.68924722,-8.523961111,50,30
Estarreja,Estarreja,40.78236382,-8.544700822,40.78236382,-8.544700822,0,0
Estarreja,Aveiro Sul,40.78236382,-8.544700822,40.56379544,-8.561086614,111,60
Estarreja,Feira,40.78236382,-8.544700822,40.93107064,-8.569931162,17,8
Estarreja,Espinho (IC24),40.78236382,-8.544700822,41.00603673,-8.582256038,26,13
Estarreja,Feiteira,40.78236382,-8.544700822,41.04830372,-8.571150958,31,16
Estarreja,Carvalhos,40.78236382,-8.544700822,41.07289744,-8.580874642,34,18
