Stop Start,Stop End,Lat Start,Long Start,Lat End,Long End
Nó Viaduto Duarte Pacheco,Nó Viaduto Duarte Pacheco,38.72361405,-9.177117052,38.72361405,-9.177117052
Nó Viaduto Duarte Pacheco,Nó Cruz das Oliveiras,38.72361405,-9.177117052,38.70798737,-9.339136704
Nó Viaduto Duarte Pacheco,Nó de Monsanto,38.72361405,-9.177117052,38.71960798,-9.209900182
Nó Viaduto Duarte Pacheco,Nó de Miraflores (A5/IC17),38.72361405,-9.177117052,38.7168212,-9.220638205
Nó Viaduto Duarte Pacheco,Nó de Linda-a-Velha,38.72361405,-9.177117052,38.72091034,-9.242324413
Nó Viaduto Duarte Pacheco,Nó Estádio Nacional,38.72361405,-9.177117052,38.71368991,-9.261576695
Nó Viaduto Duarte Pacheco,Nó de Oeiras,38.72361405,-9.177117052,38.71245993,-9.306240464
Nó Viaduto Duarte Pacheco,Nó de Carcavelos,38.72361405,-9.177117052,38.70798737,-9.339136704
Nó Viaduto Duarte Pacheco,Nó do Estoril,38.72361405,-9.177117052,38.71805517,-9.39196317
Nó Viaduto Duarte Pacheco,Nó de Alcabideche,38.72361405,-9.177117052,38.72736771,-9.420983178
Nó Viaduto Duarte Pacheco,Nó de Alvide,38.72361405,-9.177117052,38.72736771,-9.420983178
Nó Viaduto Duarte Pacheco,Nó de Cascais,38.72361405,-9.177117052,38.72179904,-9.442793126
Nó Viaduto Duarte Pacheco,Nó do Estádio Nacional 3,38.72361405,-9.177117052,38.70939121,-9.263853108
Nó Viaduto Duarte Pacheco,Nó do Estádio Nacional (A5/A9),38.72361405,-9.177117052,38.71747539,-9.269467602
Nó Viaduto Duarte Pacheco,Nó de Queluz,38.72361405,-9.177117052,38.74240685,-9.275880729
Nó Viaduto Duarte Pacheco,Nó A9/A16,38.72361405,-9.177117052,38.76849891,-9.268702771
Nó Viaduto Duarte Pacheco,Nó Radial da Pontinha,38.72361405,-9.177117052,38.7845551,-9.242929469
Nó Viaduto Duarte Pacheco,Nó Radial de Odivelas,38.72361405,-9.177117052,38.82468012,-9.192526726
Nó Viaduto Duarte Pacheco,Nó A9/A8,38.72361405,-9.177117052,38.85316867,-9.171412221
Nó Viaduto Duarte Pacheco,Nó de Bucelas (Zambujal),38.72361405,-9.177117052,38.86746531,-9.143068282
Nó Viaduto Duarte Pacheco,Nó A9/A10,38.72361405,-9.177117052,38.90771835,-9.077247376
Nó Viaduto Duarte Pacheco,Nó de Alverca,38.72361405,-9.177117052,38.89293583,-9.048121375
Nó Cruz das Oliveiras,Nó Viaduto Duarte Pacheco,38.70798737,-9.339136704,38.72361405,-9.177117052
Nó Cruz das Oliveiras,Nó Cruz das Oliveiras,38.70798737,-9.339136704,38.70798737,-9.339136704
Nó Cruz das Oliveiras,Nó de Monsanto,38.70798737,-9.339136704,38.71960798,-9.209900182
Nó Cruz das Oliveiras,Nó de Miraflores (A5/IC17),38.70798737,-9.339136704,38.7168212,-9.220638205
Nó Cruz das Oliveiras,Nó de Linda-a-Velha,38.70798737,-9.339136704,38.72091034,-9.242324413
Nó Cruz das Oliveiras,Nó Estádio Nacional,38.70798737,-9.339136704,38.71368991,-9.261576695
Nó Cruz das Oliveiras,Nó de Oeiras,38.70798737,-9.339136704,38.71245993,-9.306240464
Nó Cruz das Oliveiras,Nó de Carcavelos,38.70798737,-9.339136704,38.70798737,-9.339136704
Nó Cruz das Oliveiras,Nó do Estoril,38.70798737,-9.339136704,38.71805517,-9.39196317
Nó Cruz das Oliveiras,Nó de Alcabideche,38.70798737,-9.339136704,38.72736771,-9.420983178
Nó Cruz das Oliveiras,Nó de Alvide,38.70798737,-9.339136704,38.72736771,-9.420983178
Nó Cruz das Oliveiras,Nó de Cascais,38.70798737,-9.339136704,38.72179904,-9.442793126
Nó Cruz das Oliveiras,Nó do Estádio Nacional 3,38.70798737,-9.339136704,38.70939121,-9.263853108
Nó Cruz das Oliveiras,Nó do Estádio Nacional (A5/A9),38.70798737,-9.339136704,38.71747539,-9.269467602
Nó Cruz das Oliveiras,Nó de Queluz,38.70798737,-9.339136704,38.74240685,-9.275880729
Nó Cruz das Oliveiras,Nó A9/A16,38.70798737,-9.339136704,38.76849891,-9.268702771
Nó Cruz das Oliveiras,Nó Radial da Pontinha,38.70798737,-9.339136704,38.7845551,-9.242929469
Nó Cruz das Oliveiras,Nó Radial de Odivelas,38.70798737,-9.339136704,38.82468012,-9.192526726
Nó Cruz das Oliveiras,Nó A9/A8,38.70798737,-9.339136704,38.85316867,-9.171412221
Nó Cruz das Oliveiras,Nó de Bucelas (Zambujal),38.70798737,-9.339136704,38.86746531,-9.143068282
Nó Cruz das Oliveiras,Nó A9/A10,38.70798737,-9.339136704,38.90771835,-9.077247376
Nó Cruz das Oliveiras,Nó de Alverca,38.70798737,-9.339136704,38.89293583,-9.048121375
Nó de Monsanto,Nó Viaduto Duarte Pacheco,38.71960798,-9.209900182,38.72361405,-9.177117052
Nó de Monsanto,Nó Cruz das Oliveiras,38.71960798,-9.209900182,38.70798737,-9.339136704
Nó de Monsanto,Nó de Monsanto,38.71960798,-9.209900182,38.71960798,-9.209900182
Nó de Monsanto,Nó de Miraflores (A5/IC17),38.71960798,-9.209900182,38.7168212,-9.220638205
