Sublanço,Hora,Probabilidade incidência,n_incidencias_ano
Miraflores (A5/IC17) - Linda-a-Velha,2,0.024657534,10
Miraflores (A5/IC17) - Linda-a-Velha,15,0.076712329,32
Viaduto Duarte Pacheco - Cruz das Oliveiras,16,0.147945205,73
Carcavelos - Estoril,17,0.101369863,41
Alcabideche (A5/A16) - Alvide,23,0.002739726,1
Linda-a-Velha - Estádio Nacional,8,0.104109589,45
Oeiras - Carcavelos,8,0.117808219,45
Oeiras - Carcavelos,9,0.126027397,52
Carcavelos - Estoril,10,0.139726027,62
Estoril - Alcabideche (A5/A16),10,0.049315068,20
Viaduto Duarte Pacheco - Cruz das Oliveiras,11,0.112328767,52
Linda-a-Velha - Estádio Nacional,14,0.079452055,33
Oeiras - Carcavelos,15,0.175342466,72
Miraflores (A5/IC17) - Linda-a-Velha,16,0.095890411,43
Alcabideche (A5/A16) - Alvide,16,0.008219178,3
Oeiras - Carcavelos,18,0.189041096,90
Viaduto Duarte Pacheco - Cruz das Oliveiras,18,0.18630137,93
Monsanto - Miraflores (A5/IC17),18,0.065753425,28
Monsanto - Miraflores (A5/IC17),19,0.076712329,32
Estádio Nacional - Oeiras,20,0.090410959,37
Oeiras - Carcavelos,7,0.098630137,39
Viaduto Duarte Pacheco - Cruz das Oliveiras,9,0.197260274,83
Miraflores (A5/IC17) - Linda-a-Velha,9,0.093150685,41
Linda-a-Velha - Estádio Nacional,9,0.208219178,97
Linda-a-Velha - Estádio Nacional,10,0.189041096,79
Linda-a-Velha - Estádio Nacional,12,0.090410959,41
Oeiras - Carcavelos,12,0.147945205,59
Estádio Nacional - Oeiras,14,0.128767123,55
Alvide - Cascais,14,0.01369863,5
Estádio Nacional - Oeiras,16,0.117808219,52
Linda-a-Velha - Estádio Nacional,17,0.224657534,100
Miraflores (A5/IC17) - Linda-a-Velha,18,0.134246575,58
Cruz das Oliveiras - Monsanto,19,0.2,88
Cruz das Oliveiras - Monsanto,21,0.063013699,32
Linda-a-Velha - Estádio Nacional,21,0.071232877,33
Carcavelos - Estoril,0,0.04109589,16
Viaduto Duarte Pacheco - Cruz das Oliveiras,10,0.167123288,82
Oeiras - Carcavelos,10,0.117808219,48
Alcabideche (A5/A16) - Alvide,14,0.008219178,3
Cruz das Oliveiras - Monsanto,14,0.073972603,31
Alcabideche (A5/A16) - Alvide,15,0.010958904,4
Linda-a-Velha - Estádio Nacional,15,0.123287671,54
Estoril - Alcabideche (A5/A16),17,0.060273973,25
Viaduto Duarte Pacheco - Cruz das Oliveiras,17,0.21369863,109
Alvide - Cascais,19,0.008219178,3
Oeiras - Carcavelos,19,0.153424658,61
Estoril - Alcabideche (A5/A16),23,0.02739726,11
Cruz das Oliveiras - Monsanto,23,0.035616438,14
Linda-a-Velha - Estádio Nacional,5,0.016438356,7
Viaduto Duarte Pacheco - Cruz das Oliveiras,13,0.117808219,54
Monsanto - Miraflores (A5/IC17),14,0.035616438,14
Estoril - Alcabideche (A5/A16),15,0.065753425,26
Monsanto - Miraflores (A5/IC17),15,0.054794521,21
Monsanto - Miraflores (A5/IC17),16,0.046575342,18
Cruz das Oliveiras - Monsanto,17,0.17260274,74
Carcavelos - Estoril,18,0.120547945,45
Viaduto Duarte Pacheco - Cruz das Oliveiras,19,0.189041096,91
Linda-a-Velha - Estádio Nacional,22,0.043835616,17
Viaduto Duarte Pacheco - Cruz das Oliveiras,0,0.073972603,35
