Sublanço,Hora,Probabilidade incidência
Viaduto Duarte Pacheco - Cruz das Oliveiras,0,2%
Viaduto Duarte Pacheco - Cruz das Oliveiras,1,1%
Viaduto Duarte Pacheco - Cruz das Oliveiras,2,2%
Viaduto Duarte Pacheco - Cruz das Oliveiras,3,2%
Viaduto Duarte Pacheco - Cruz das Oliveiras,4,1%
Viaduto Duarte Pacheco - Cruz das Oliveiras,5,1%
Viaduto Duarte Pacheco - Cruz das Oliveiras,6,2%
Viaduto Duarte Pacheco - Cruz das Oliveiras,7,3%
Viaduto Duarte Pacheco - Cruz das Oliveiras,8,5%
Viaduto Duarte Pacheco - Cruz das Oliveiras,9,8%
Viaduto Duarte Pacheco - Cruz das Oliveiras,10,8%
Viaduto Duarte Pacheco - Cruz das Oliveiras,11,7%
Viaduto Duarte Pacheco - Cruz das Oliveiras,12,7%
Viaduto Duarte Pacheco - Cruz das Oliveiras,13,8%
Viaduto Duarte Pacheco - Cruz das Oliveiras,14,5%
Viaduto Duarte Pacheco - Cruz das Oliveiras,15,8%
Viaduto Duarte Pacheco - Cruz das Oliveiras,16,8%
Viaduto Duarte Pacheco - Cruz das Oliveiras,17,11%
Viaduto Duarte Pacheco - Cruz das Oliveiras,18,12%
Viaduto Duarte Pacheco - Cruz das Oliveiras,19,11%
Viaduto Duarte Pacheco - Cruz das Oliveiras,20,8%
Viaduto Duarte Pacheco - Cruz das Oliveiras,21,6%
Viaduto Duarte Pacheco - Cruz das Oliveiras,22,3%
Viaduto Duarte Pacheco - Cruz das Oliveiras,23,4%
Oeiras - Carcavelos,0,2%
Oeiras - Carcavelos,1,1%
Oeiras - Carcavelos,2,2%
Oeiras - Carcavelos,3,0%
Oeiras - Carcavelos,4,1%
Oeiras - Carcavelos,5,1%
Oeiras - Carcavelos,6,1%
Oeiras - Carcavelos,7,5%
Oeiras - Carcavelos,8,6%
Oeiras - Carcavelos,9,8%
Oeiras - Carcavelos,10,5%
Oeiras - Carcavelos,11,8%
Oeiras - Carcavelos,12,7%
Oeiras - Carcavelos,13,7%
Oeiras - Carcavelos,14,8%
Oeiras - Carcavelos,15,7%
Oeiras - Carcavelos,16,5%
Oeiras - Carcavelos,17,8%
Oeiras - Carcavelos,18,12%
Oeiras - Carcavelos,19,7%
Oeiras - Carcavelos,20,5%
Oeiras - Carcavelos,21,3%
Oeiras - Carcavelos,22,2%
Oeiras - Carcavelos,23,3%
Monsanto - Miraflores (A5/IC17),0,2%
