Sublanço,Hora,Probabilidade incidência
Viaduto Duarte Pacheco - Cruz das Oliveiras,0,0.074
Viaduto Duarte Pacheco - Cruz das Oliveiras,1,0.019
Viaduto Duarte Pacheco - Cruz das Oliveiras,2,0.049
Viaduto Duarte Pacheco - Cruz das Oliveiras,3,0.016
Viaduto Duarte Pacheco - Cruz das Oliveiras,4,0.019
Viaduto Duarte Pacheco - Cruz das Oliveiras,5,0.005
Viaduto Duarte Pacheco - Cruz das Oliveiras,6,0.025
Viaduto Duarte Pacheco - Cruz das Oliveiras,7,0.044
Viaduto Duarte Pacheco - Cruz das Oliveiras,8,0.079
Viaduto Duarte Pacheco - Cruz das Oliveiras,9,0.197
Viaduto Duarte Pacheco - Cruz das Oliveiras,10,0.167
Viaduto Duarte Pacheco - Cruz das Oliveiras,11,0.112
Viaduto Duarte Pacheco - Cruz das Oliveiras,12,0.093
Viaduto Duarte Pacheco - Cruz das Oliveiras,13,0.118
Viaduto Duarte Pacheco - Cruz das Oliveiras,14,0.134
Viaduto Duarte Pacheco - Cruz das Oliveiras,15,0.137
Viaduto Duarte Pacheco - Cruz das Oliveiras,16,0.148
Viaduto Duarte Pacheco - Cruz das Oliveiras,17,0.214
Viaduto Duarte Pacheco - Cruz das Oliveiras,18,0.186
Viaduto Duarte Pacheco - Cruz das Oliveiras,19,0.189
Viaduto Duarte Pacheco - Cruz das Oliveiras,20,0.123
Viaduto Duarte Pacheco - Cruz das Oliveiras,21,0.082
Viaduto Duarte Pacheco - Cruz das Oliveiras,22,0.096
Viaduto Duarte Pacheco - Cruz das Oliveiras,23,0.068
Oeiras - Carcavelos,0,0.055
Oeiras - Carcavelos,1,0.025
Oeiras - Carcavelos,2,0.03
Oeiras - Carcavelos,3,0.025
Oeiras - Carcavelos,4,0.016
Oeiras - Carcavelos,5,0.019
Oeiras - Carcavelos,6,0.022
Oeiras - Carcavelos,7,0.099
Oeiras - Carcavelos,8,0.118
Oeiras - Carcavelos,9,0.126
Oeiras - Carcavelos,10,0.118
Oeiras - Carcavelos,11,0.126
Oeiras - Carcavelos,12,0.148
Oeiras - Carcavelos,13,0.126
Oeiras - Carcavelos,14,0.14
Oeiras - Carcavelos,15,0.175
Oeiras - Carcavelos,16,0.17
Oeiras - Carcavelos,17,0.115
Oeiras - Carcavelos,18,0.189
Oeiras - Carcavelos,19,0.153
Oeiras - Carcavelos,20,0.115
Oeiras - Carcavelos,21,0.079
Oeiras - Carcavelos,22,0.044
Oeiras - Carcavelos,23,0.052
Monsanto - Miraflores (A5/IC17),0,0.025
Monsanto - Miraflores (A5/IC17),1,0.005
Monsanto - Miraflores (A5/IC17),2,0.011
Monsanto - Miraflores (A5/IC17),3,0.003
Monsanto - Miraflores (A5/IC17),4,0.008
Monsanto - Miraflores (A5/IC17),5,0.005
Monsanto - Miraflores (A5/IC17),6,0.003
Monsanto - Miraflores (A5/IC17),7,0.044
Monsanto - Miraflores (A5/IC17),8,0.041
Monsanto - Miraflores (A5/IC17),9,0.071
Monsanto - Miraflores (A5/IC17),10,0.047
Monsanto - Miraflores (A5/IC17),11,0.047
Monsanto - Miraflores (A5/IC17),12,0.014
Monsanto - Miraflores (A5/IC17),13,0.036
Monsanto - Miraflores (A5/IC17),14,0.036
Monsanto - Miraflores (A5/IC17),15,0.055
Monsanto - Miraflores (A5/IC17),16,0.047
Monsanto - Miraflores (A5/IC17),17,0.063
Monsanto - Miraflores (A5/IC17),18,0.066
Monsanto - Miraflores (A5/IC17),19,0.077
Monsanto - Miraflores (A5/IC17),20,0.033
Monsanto - Miraflores (A5/IC17),21,0.022
Monsanto - Miraflores (A5/IC17),22,0.016
Monsanto - Miraflores (A5/IC17),23,0.025
Miraflores (A5/IC17) - Linda-a-Velha,0,0.041
Miraflores (A5/IC17) - Linda-a-Velha,1,0.011
Miraflores (A5/IC17) - Linda-a-Velha,2,0.025
Miraflores (A5/IC17) - Linda-a-Velha,3,0.003
Miraflores (A5/IC17) - Linda-a-Velha,4,0.008
Miraflores (A5/IC17) - Linda-a-Velha,5,0.014
Miraflores (A5/IC17) - Linda-a-Velha,6,0.027
Miraflores (A5/IC17) - Linda-a-Velha,7,0.027
Miraflores (A5/IC17) - Linda-a-Velha,8,0.071
Miraflores (A5/IC17) - Linda-a-Velha,9,0.093
Miraflores (A5/IC17) - Linda-a-Velha,10,0.085
Miraflores (A5/IC17) - Linda-a-Velha,11,0.082
Miraflores (A5/IC17) - Linda-a-Velha,12,0.066
Miraflores (A5/IC17) - Linda-a-Velha,13,0.088
Miraflores (A5/IC17) - Linda-a-Velha,14,0.107
Miraflores (A5/IC17) - Linda-a-Velha,15,0.077
Miraflores (A5/IC17) - Linda-a-Velha,16,0.096
Miraflores (A5/IC17) - Linda-a-Velha,17,0.118
Miraflores (A5/IC17) - Linda-a-Velha,18,0.134
Miraflores (A5/IC17) - Linda-a-Velha,19,0.115
Miraflores (A5/IC17) - Linda-a-Velha,20,0.074
Miraflores (A5/IC17) - Linda-a-Velha,21,0.049
Miraflores (A5/IC17) - Linda-a-Velha,22,0.066
Miraflores (A5/IC17) - Linda-a-Velha,23,0.022
Linda-a-Velha - Estádio Nacional,0,0.047
Linda-a-Velha - Estádio Nacional,1,0.027
Linda-a-Velha - Estádio Nacional,2,0.036
Linda-a-Velha - Estádio Nacional,3,0.008
Linda-a-Velha - Estádio Nacional,4,0.014
Linda-a-Velha - Estádio Nacional,5,0.016
Linda-a-Velha - Estádio Nacional,6,0.033
Linda-a-Velha - Estádio Nacional,7,0.063
Linda-a-Velha - Estádio Nacional,8,0.104
Linda-a-Velha - Estádio Nacional,9,0.208
Linda-a-Velha - Estádio Nacional,10,0.189
Linda-a-Velha - Estádio Nacional,11,0.153
Linda-a-Velha - Estádio Nacional,12,0.09
Linda-a-Velha - Estádio Nacional,13,0.093
Linda-a-Velha - Estádio Nacional,14,0.079
Linda-a-Velha - Estádio Nacional,15,0.123
Linda-a-Velha - Estádio Nacional,16,0.093
Linda-a-Velha - Estádio Nacional,17,0.225
Linda-a-Velha - Estádio Nacional,18,0.151
Linda-a-Velha - Estádio Nacional,19,0.164
Linda-a-Velha - Estádio Nacional,20,0.099
Linda-a-Velha - Estádio Nacional,21,0.071
Linda-a-Velha - Estádio Nacional,22,0.044
Linda-a-Velha - Estádio Nacional,23,0.058
Estoril - Alcabideche (A5/A16) (A5/A16),7,0.033
Estoril - Alcabideche (A5/A16) (A5/A16),8,0.033
Estoril - Alcabideche (A5/A16) (A5/A16),9,0.036
Estoril - Alcabideche (A5/A16) (A5/A16),10,0.049
Estoril - Alcabideche (A5/A16) (A5/A16),11,0.044
Estoril - Alcabideche (A5/A16) (A5/A16),12,0.016
Estoril - Alcabideche (A5/A16) (A5/A16),13,0.058
Estoril - Alcabideche (A5/A16),0,0.011
Estoril - Alcabideche (A5/A16),1,0.027
Estoril - Alcabideche (A5/A16),2,0.003
Estoril - Alcabideche (A5/A16),4,0.005
Estoril - Alcabideche (A5/A16),5,0.003
Estoril - Alcabideche (A5/A16),6,0.005
Estoril - Alcabideche (A5/A16),14,0.033
Estoril - Alcabideche (A5/A16),15,0.066
Estoril - Alcabideche (A5/A16),16,0.027
Estoril - Alcabideche (A5/A16),17,0.06
Estoril - Alcabideche (A5/A16),18,0.09
Estoril - Alcabideche (A5/A16),19,0.025
Estoril - Alcabideche (A5/A16),20,0.041
Estoril - Alcabideche (A5/A16),21,0.033
Estoril - Alcabideche (A5/A16),22,0.014
Estoril - Alcabideche (A5/A16),23,0.027
Estádio Nacional - Oeiras,0,0.052
Estádio Nacional - Oeiras,1,0.041
Estádio Nacional - Oeiras,2,0.044
Estádio Nacional - Oeiras,3,0.019
Estádio Nacional - Oeiras,4,0.027
Estádio Nacional - Oeiras,5,0.019
Estádio Nacional - Oeiras,6,0.03
Estádio Nacional - Oeiras,7,0.099
Estádio Nacional - Oeiras,8,0.164
Estádio Nacional - Oeiras,9,0.26
Estádio Nacional - Oeiras,10,0.115
Estádio Nacional - Oeiras,11,0.112
Estádio Nacional - Oeiras,12,0.085
Estádio Nacional - Oeiras,13,0.104
Estádio Nacional - Oeiras,14,0.129
Estádio Nacional - Oeiras,15,0.11
Estádio Nacional - Oeiras,16,0.118
Estádio Nacional - Oeiras,17,0.104
Estádio Nacional - Oeiras,18,0.093
Estádio Nacional - Oeiras,19,0.126
Estádio Nacional - Oeiras,20,0.09
Estádio Nacional - Oeiras,21,0.055
Estádio Nacional - Oeiras,22,0.082
Estádio Nacional - Oeiras,23,0.06
Cruz das Oliveiras - Monsanto,0,0.041
Cruz das Oliveiras - Monsanto,1,0.014
Cruz das Oliveiras - Monsanto,2,0.038
Cruz das Oliveiras - Monsanto,3,0.011
Cruz das Oliveiras - Monsanto,4,0.014
Cruz das Oliveiras - Monsanto,5,0.011
Cruz das Oliveiras - Monsanto,6,0.011
Cruz das Oliveiras - Monsanto,7,0.074
Cruz das Oliveiras - Monsanto,8,0.068
Cruz das Oliveiras - Monsanto,9,0.153
Cruz das Oliveiras - Monsanto,10,0.126
Cruz das Oliveiras - Monsanto,11,0.099
Cruz das Oliveiras - Monsanto,12,0.058
Cruz das Oliveiras - Monsanto,13,0.082
Cruz das Oliveiras - Monsanto,14,0.074
Cruz das Oliveiras - Monsanto,15,0.088
Cruz das Oliveiras - Monsanto,16,0.145
Cruz das Oliveiras - Monsanto,17,0.173
Cruz das Oliveiras - Monsanto,18,0.162
Cruz das Oliveiras - Monsanto,19,0.2
Cruz das Oliveiras - Monsanto,20,0.104
Cruz das Oliveiras - Monsanto,21,0.063
Cruz das Oliveiras - Monsanto,22,0.055
Cruz das Oliveiras - Monsanto,23,0.036
Carcavelos - Estoril,0,0.041
Carcavelos - Estoril,1,0.016
Carcavelos - Estoril,2,0.019
Carcavelos - Estoril,4,0.022
Carcavelos - Estoril,5,0.008
Carcavelos - Estoril,6,0.019
Carcavelos - Estoril,7,0.082
Carcavelos - Estoril,8,0.079
Carcavelos - Estoril,9,0.058
Carcavelos - Estoril,10,0.14
Carcavelos - Estoril,11,0.074
Carcavelos - Estoril,12,0.066
Carcavelos - Estoril,13,0.173
Carcavelos - Estoril,14,0.06
Carcavelos - Estoril,15,0.134
Carcavelos - Estoril,16,0.101
Carcavelos - Estoril,17,0.101
Carcavelos - Estoril,18,0.121
Carcavelos - Estoril,19,0.071
Carcavelos - Estoril,20,0.077
Carcavelos - Estoril,21,0.055
Carcavelos - Estoril,22,0.022
Carcavelos - Estoril,23,0.063
Alvide - Cascais,1,0.008
Alvide - Cascais,2,0.005
Alvide - Cascais,3,0.003
Alvide - Cascais,4,0.005
Alvide - Cascais,7,0.005
Alvide - Cascais,8,0.011
Alvide - Cascais,9,0.027
Alvide - Cascais,10,0.036
Alvide - Cascais,11,0.005
Alvide - Cascais,12,0.014
Alvide - Cascais,13,0.036
Alvide - Cascais,14,0.014
Alvide - Cascais,15,0.038
Alvide - Cascais,16,0.016
Alvide - Cascais,17,0.019
Alvide - Cascais,18,0.033
Alvide - Cascais,19,0.008
Alvide - Cascais,20,0.008
Alvide - Cascais,21,0.011
Alvide - Cascais,23,0.014
Alcabideche (A5/A16) - Alvide,2,0.003
Alcabideche (A5/A16) - Alvide,3,0.003
Alcabideche (A5/A16) - Alvide,8,0.011
Alcabideche (A5/A16) - Alvide,9,0.008
Alcabideche (A5/A16) - Alvide,10,0.033
Alcabideche (A5/A16) - Alvide,11,0.011
Alcabideche (A5/A16) - Alvide,13,0.014
Alcabideche (A5/A16) - Alvide,14,0.008
Alcabideche (A5/A16) - Alvide,15,0.011
Alcabideche (A5/A16) - Alvide,16,0.008
Alcabideche (A5/A16) - Alvide,17,0.014
Alcabideche (A5/A16) - Alvide,18,0.022
Alcabideche (A5/A16) - Alvide,19,0.003
Alcabideche (A5/A16) - Alvide,20,0.003
Alcabideche (A5/A16) - Alvide,21,0.003
Alcabideche (A5/A16) - Alvide,22,0.003
Alcabideche (A5/A16) - Alvide,23,0.003
