Sublanço,Hora,Probabilidade incidência
Águas Santas (A4/A3) - Ermesinde,7,0.104109589
Águas Santas (A3/A4) - Maia,7,0.156164384
Castelões (A4/IP9) - Amarante Poente,7,0.087671233
Sarilhos - Montijo,7,0.052054795
Penafiel - Castelões (A4/IP9),7,0.082191781
Almada - Fogueteiro,7,0.306849315
A2/A6/A13 - Alcácer do Sal,0,0.073972603
Estádio Nacional - Oeiras,9,0.260273973
Fogueteiro - Coina,7,0.142465753
Aguiar de Sousa - A41/A43,7,0.057534247
Marinha Ondas - A17/14 Figueira da Foz,7,0.065753425
Maia - Santo Tirso,0,0.123287671
Coina - Palmela,7,0.123287671
Carregado - Aveiras de Cima,7,0.164383562
Sandim - Argoncilhe,7,0.038356164
Quiaios - Tocha,7,0.043835616
Quiaios - Tocha,0,0.032876712
Gens - A41/A43,7,0.02739726
Penalva - Moita,7,0.038356164
Marinha Ondas - A17/14 Figueira da Foz,1,0.030136986
Maia - Santo Tirso,7,0.117808219
Medas - A32/A41,7,0.02739726
Estarreja - Feira,7,0.161643836
Mealhada - Aveiro Sul,7,0.126027397
Alverca (A1/A9) - Vila Franca de Xira II,7,0.126027397
Famalicão - Cruz,7,0.115068493
Sta Iria da Azóia - Alverca (A1/A9),7,0.101369863
Almodôvar - S.B. Messines,11,0.246575342
Almada - Fogueteiro,15,0.383561644
Almada - Fogueteiro,10,0.347945205
Évora Nascente - Estremoz,12,0.087671233
EN 227 - Feira/Mansores,9,0.104109589
Estarreja - Feira,15,0.306849315
Almada - Fogueteiro,13,0.320547945
Gondomar - Gens,9,0.098630137
Baltar - Paredes,11,0.167123288
Maia - Santo Tirso,11,0.317808219
Marinha Ondas - A17/14 Figueira da Foz,9,0.106849315
A17/14 Figueira da Foz - Quiaios,9,0.084931507
Aguiar de Sousa - A41/A43,8,0.076712329
Évora Nascente - Estremoz,15,0.068493151
Maia - Santo Tirso,8,0.295890411
Carregado - Aveiras de Cima,15,0.268493151
Maia - Santo Tirso,14,0.287671233
A2/A6/A13 - Alcácer do Sal,14,0.249315068
Fogueteiro - Coina,15,0.21369863
Penalva - Moita,11,0.126027397
